日期,收盤價(還原權息),成交量
2007-04-10,41.765323638916016,35000
2007-04-11,41.6543083190918,87700
2007-04-12,41.648773193359375,78100
2007-04-13,41.58213806152344,18000
2007-04-16,41.62099838256836,52700
2007-04-17,41.72647476196289,25600
2007-04-18,41.80421829223633,30400
2007-04-19,41.78754425048828,59700
2007-04-20,41.77644348144531,32200
2007-04-23,41.83194351196289,43200
2007-04-24,41.898555755615234,77500
2007-04-25,41.865234375,264200
2007-04-26,41.77644348144531,68400
2007-04-27,41.765323638916016,44800
2007-04-30,41.904117584228516,35900
2007-05-01,41.880191802978516,54800
2007-05-02,41.885807037353516,28900
2007-05-03,41.85796356201172,33800
2007-05-04,41.891319274902344,19200
2007-05-07,41.91910934448242,135500
2007-05-08,41.92469024658203,34000
2007-05-09,41.874664306640625,50200
2007-05-10,41.91355514526367,42000
2007-05-11,41.85796356201172,38200
2007-05-14,41.83012390136719,71200
2007-05-15,41.813453674316406,31600
2007-05-16,41.83012390136719,56600
2007-05-17,41.769004821777344,42700
2007-05-18,41.668880462646484,62200
2007-05-21,41.72450637817383,49400
2007-05-22,41.65778350830078,49800
2007-05-23,41.624427795410156,47200
2007-05-24,41.61884689331055,38600
2007-05-25,41.624427795410156,21100
2007-05-29,41.568809509277344,27900
2007-05-30,41.607757568359375,35200
2007-05-31,41.574371337890625,52200
2007-06-01,41.478389739990234,84900
2007-06-04,41.52305221557617,28500
2007-06-05,41.456085205078125,37400
2007-06-06,41.49515914916992,185900
2007-06-07,41.20500564575195,75500
2007-06-08,41.19945526123047,62700
2007-06-11,41.154788970947266,77100
2007-06-12,40.953922271728516,405400
2007-06-13,41.04876708984375,93800
2007-06-14,40.992958068847656,109800
2007-06-15,41.19945526123047,108600
2007-06-18,41.154788970947266,60300
2007-06-19,41.35006332397461,73400
2007-06-20,41.14921569824219,70300
2007-06-21,41.17152786254883,38500
2007-06-22,41.23291778564453,55800
2007-06-25,41.344482421875,85500
2007-06-26,41.32777786254883,163100
2007-06-27,41.36124801635742,212000
2007-06-28,41.305423736572266,74300
2007-06-29,41.44493103027344,389200
2007-07-02,41.54737854003906,74900
2007-07-03,41.4633903503418,21900
2007-07-05,41.29551696777344,43100
2007-07-06,41.211509704589844,55400
2007-07-09,41.256324768066406,34900
2007-07-10,41.4690055847168,110400
2007-07-11,41.36827087402344,37300
2007-07-12,41.312286376953125,28100
2007-07-13,41.37945556640625,86400
2007-07-16,41.49139404296875,66700
2007-07-17,41.44102096557617,37500
2007-07-18,41.5081901550293,51500
2007-07-19,41.49139404296875,23500
2007-07-20,41.60890579223633,46300
2007-07-23,41.59772491455078,36700
2007-07-24,41.6145133972168,31400
2007-07-25,41.65370559692383,24900
2007-07-26,41.8160285949707,51500
2007-07-27,41.78244400024414,45700
2007-07-30,41.74325180053711,33600
2007-07-31,41.827213287353516,24300
2007-08-01,41.80697250366211,32600
2007-08-02,41.880035400390625,40600
2007-08-03,42.0205192565918,118800
2007-08-06,41.90251922607422,34100
2007-08-07,41.924991607666016,41700
2007-08-08,41.79011917114258,40900
2007-08-09,41.885658264160156,44900
2007-08-10,41.80697250366211,33900
2007-08-13,41.84633255004883,354100
2007-08-14,41.94747543334961,38900
2007-08-15,41.953121185302734,33600
2007-08-16,41.94747543334961,43100
2007-08-17,42.076751708984375,37300
2007-08-20,41.986846923828125,66500
2007-08-21,42.13296890258789,24900
2007-08-22,42.13296890258789,38900
2007-08-23,42.13296890258789,46600
2007-08-24,42.17228317260742,54300
2007-08-27,42.32404327392578,82200
2007-08-28,42.442039489746094,55400
2007-08-29,42.34651184082031,92200
2007-08-30,42.4195556640625,44500
2007-08-31,42.44765090942383,23600
2007-09-04,42.42171096801758,85500
2007-09-05,42.58531951904297,56800
2007-09-06,42.506309509277344,46500
2007-09-07,42.771480560302734,45700
2007-09-10,42.89561462402344,94800
2007-09-11,42.794063568115234,36400
2007-09-12,42.726375579833984,73900
2007-09-13,42.619171142578125,77800
2007-09-14,42.62483215332031,45800
2007-09-17,42.658653259277344,39300
2007-09-18,42.77714157104492,74700
2007-09-19,42.70945358276367,93600
2007-09-20,42.404781341552734,112700
2007-09-21,42.58531951904297,233800
2007-09-24,42.55710220336914,121500
2007-09-25,42.58531951904297,77500
2007-09-26,42.596622467041016,173600
2007-09-27,42.68689727783203,36300
2007-09-28,42.70378112792969,129200
2007-10-01,42.67719268798828,246000
2007-10-02,42.83009338378906,214300
2007-10-03,42.80747604370117,99300
2007-10-04,42.85276794433594,70200
2007-10-05,42.671531677246094,80500
2007-10-08,42.79612350463867,43600
2007-10-09,42.654537200927734,67200
2007-10-10,42.699859619140625,69900
2007-10-11,42.739498138427734,125100
2007-10-12,42.671531677246094,61200
2007-10-15,42.6375617980957,394500
2007-10-16,42.728145599365234,107100
2007-10-17,42.943359375,90200
2007-10-18,43.0,92000
2007-10-19,43.20384979248047,117300
2007-10-22,43.17554473876953,90200
2007-10-23,43.16419982910156,84800
2007-10-24,43.334075927734375,207300
2007-10-25,43.30015182495117,88600
2007-10-26,43.23784255981445,154300
2007-10-29,43.243499755859375,54500
2007-10-30,43.25483322143555,86800
2007-10-31,43.09626388549805,116100
2007-11-01,43.34353256225586,141200
2007-11-02,43.39469528198242,105800
2007-11-05,43.26966094970703,63500
2007-11-06,43.20140075683594,55800
2007-11-07,43.26395797729492,88700
2007-11-08,43.31509017944336,552500
2007-11-09,43.37196731567383,36000
2007-11-12,43.46859359741211,47700
2007-11-13,43.33784484863281,66900
2007-11-14,43.33784484863281,66100
2007-11-15,43.491336822509766,94400
2007-11-16,43.47427749633789,99500
2007-11-19,43.599334716796875,144100
2007-11-20,43.502716064453125,89500
2007-11-21,43.76985549926758,49300
2007-11-23,43.684574127197266,15000
2007-11-26,44.0256462097168,171100
2007-11-27,43.792598724365234,60000
2007-11-28,43.747093200683594,73100
2007-11-29,43.940391540527344,119500
2007-11-30,43.940391540527344,107300
2007-12-03,44.155555725097656,78700
2007-12-04,44.132728576660156,89300
2007-12-05,44.035701751708984,74500
2007-12-06,43.80739974975586,75500
2007-12-07,43.66472625732422,135500
2007-12-10,43.584835052490234,84600
2007-12-11,43.87590408325195,97200
2007-12-12,43.790279388427734,133600
2007-12-13,43.56772994995117,62300
2007-12-14,43.4706916809082,265300
2007-12-17,43.653324127197266,144700
2007-12-18,43.756038665771484,72000
2007-12-19,43.93867492675781,105900
2007-12-20,43.94440460205078,54800
2007-12-21,43.653324127197266,3511900
2007-12-24,43.676780700683594,91000
2007-12-26,43.54510498046875,130800
2007-12-27,43.716880798339844,100700
2007-12-28,43.93450164794922,99000
2007-12-31,44.31243896484375,140500
2008-01-02,44.3010139465332,2723300
2008-01-03,44.35830307006836,281400
2008-01-04,44.40980529785156,231100
2008-01-07,44.4212646484375,186300
2008-01-08,44.46705627441406,144000
2008-01-09,44.415531158447266,195500
2008-01-10,44.39837646484375,77400
2008-01-11,44.53579330444336,139200
2008-01-14,44.59307098388672,171500
2008-01-15,44.753395080566406,204800
2008-01-16,44.6674690246582,173700
2008-01-17,44.85076141357422,131700
2008-01-18,44.82784652709961,100500
2008-01-22,45.10844039916992,205700
2008-01-23,45.03400421142578,263500
2008-01-24,44.741966247558594,136200
2008-01-25,45.039764404296875,168800
2008-01-28,44.87938690185547,172100
2008-01-29,44.81640625,107600
2008-01-30,44.833560943603516,121500
2008-01-31,44.86792755126953,120800
2008-02-01,45.017417907714844,126500
2008-02-04,44.85643005371094,181700
2008-02-05,44.9771842956543,143400
2008-02-06,44.88517761230469,149000
2008-02-07,44.60926055908203,135100
2008-02-08,44.741485595703125,88000
2008-02-11,44.83916473388672,93500
2008-02-12,44.76448059082031,113000
2008-02-13,44.52301788330078,123500
2008-02-14,44.316062927246094,144900
2008-02-15,44.38505935668945,161000
2008-02-19,43.97692108154297,602700
2008-02-20,44.01140213012695,197000
2008-02-21,44.37932586669922,205100
2008-02-22,44.270076751708984,175400
2008-02-25,44.0516242980957,180900
2008-02-26,44.21835708618164,271500
2008-02-27,44.2988395690918,221900
2008-02-28,44.62650680541992,146900
2008-02-29,44.90819549560547,163100
2008-03-03,44.79911804199219,117300
2008-03-04,44.58563232421875,229800
2008-03-05,44.297119140625,158900
2008-03-06,44.26248550415039,187600
2008-03-07,44.38368225097656,142800
2008-03-10,44.516361236572266,71100
2008-03-11,44.26248550415039,85900
2008-03-12,44.67216110229492,66200
2008-03-13,44.47598648071289,207000
2008-03-14,44.666412353515625,119900
2008-03-17,44.8164176940918,83700
2008-03-18,44.85686492919922,86200
