日期,收盤價(還原權息),成交量
2005-03-10,14.328835487365723,108200
2005-03-11,14.311689376831055,184400
2005-03-14,14.225995063781738,112800
2005-03-15,13.91747760772705,127800
2005-03-16,13.797502517700195,196400
2005-03-17,13.908909797668457,243800
2005-03-18,13.928898811340332,75400
2005-03-21,13.754651069641113,81000
2005-03-22,13.534685134887695,68000
2005-03-23,13.411855697631836,54000
2005-03-24,13.369009971618652,113600
2005-03-28,13.414713859558105,66000
2005-03-29,13.123336791992188,51400
2005-03-30,13.409003257751465,177000
2005-03-31,13.483267784118652,180800
2005-04-01,13.497556686401367,142200
2005-04-04,13.57182788848877,43800
2005-04-05,13.54040241241455,70200
2005-04-06,13.666099548339844,96000
2005-04-07,13.723228454589844,48600
2005-04-08,13.61181640625,62200
2005-04-11,13.663244247436523,89000
2005-04-12,13.683236122131348,252000
2005-04-13,13.57182788848877,58800
2005-04-14,13.226177215576172,97400
2005-04-15,13.003358840942383,224600
2005-04-18,12.969080924987793,86200
2005-04-19,13.229033470153809,107200
2005-04-20,13.020501136779785,60800
2005-04-21,13.31473159790039,154200
2005-04-22,13.22046184539795,35600
2005-04-25,13.343295097351074,67800
2005-04-26,13.260453224182129,123800
2005-04-27,13.19760799407959,77200
2005-04-28,12.92623233795166,62400
2005-04-29,13.16904354095459,40800
2005-05-02,13.229033470153809,61200
2005-05-03,13.137618064880371,117600
2005-05-04,13.594677925109863,622200
2005-05-05,13.603246688842773,222000
2005-05-06,13.668951034545898,251000
2005-05-09,13.714655876159668,248400
2005-05-10,13.43185043334961,148000
2005-05-11,13.508980751037598,41200
2005-05-12,13.269024848937988,106000
2005-05-13,13.23759937286377,83800
2005-05-16,13.32616138458252,42600
2005-05-17,13.343295097351074,139200
2005-05-18,13.668951034545898,518800
2005-05-19,13.61181640625,54400
2005-05-20,13.483267784118652,70800
2005-05-23,13.497556686401367,56000
2005-05-24,13.494702339172363,49200
2005-05-25,13.443277359008789,64200
2005-05-26,13.497556686401367,45600
2005-05-27,13.671806335449219,69000
2005-05-31,13.551827430725098,130200
2005-06-01,13.62610149383545,194800
2005-06-02,13.746077537536621,271400
2005-06-03,13.711803436279297,46000
2005-06-06,13.831780433654785,91800
2005-06-07,13.760360717773438,228200
2005-06-08,13.700373649597168,52000
2005-06-09,13.797502517700195,81600
2005-06-10,13.806066513061523,69600
2005-06-13,13.797502517700195,112600
2005-06-14,13.848921775817871,45800
2005-06-15,14.046030044555664,59200
2005-06-16,14.257414817810059,88600
2005-06-17,14.303128242492676,61400
2005-06-20,14.254561424255371,333000
2005-06-21,14.17171573638916,120600
2005-06-22,14.28598403930664,63800
2005-06-23,14.074594497680664,129400
2005-06-24,13.997467041015625,49000
2005-06-27,14.054594993591309,124400
2005-06-28,14.168858528137207,35600
2005-06-29,14.123151779174805,136400
2005-06-30,14.020317077636719,87600
2005-07-01,14.148860931396484,23200
2005-07-05,14.17171573638916,233400
2005-07-06,14.06316089630127,174200
2005-07-07,14.054594993591309,71600
2005-07-08,14.140294075012207,35400
2005-07-11,14.368825912475586,96200
2005-07-12,14.54308032989502,57200
2005-07-13,14.540220260620117,42200
2005-07-14,14.62877082824707,66600
2005-07-15,14.557364463806152,57800
2005-07-18,14.51736831665039,51800
2005-07-19,14.665916442871094,28200
2005-07-20,14.791609764099121,199200
2005-07-21,14.897300720214844,184000
2005-07-22,14.92015266418457,51000
2005-07-25,14.668769836425781,138800
2005-07-26,14.751605987548828,106200
2005-07-27,14.854446411132812,105400
2005-07-28,15.122971534729004,74000
2005-07-29,14.997275352478027,202800
2005-08-01,15.17153549194336,273000
2005-08-02,15.477192878723145,111000
2005-08-03,15.505753517150879,111800
2005-08-04,15.382919311523438,72600
2005-08-05,15.140114784240723,102000
2005-08-08,15.140114784240723,87000
2005-08-09,15.591460227966309,66400
2005-08-10,15.5257568359375,124800
2005-08-11,15.631451606750488,270800
2005-08-12,15.485767364501953,625000
2005-08-15,15.5543212890625,77000
2005-08-16,15.297220230102539,241800
2005-08-17,15.354352951049805,73400
2005-08-18,15.094405174255371,58800
2005-08-19,15.054415702819824,107000
2005-08-22,15.257232666015625,98000
2005-08-23,15.071553230285645,104400
2005-08-24,14.880160331726074,65200
2005-08-25,15.10583209991455,76600
2005-08-26,14.940147399902344,60000
2005-08-29,15.082985877990723,120400
2005-08-30,14.925863265991211,493400
2005-08-31,15.211527824401855,70200
2005-09-01,15.365787506103516,105000
2005-09-02,15.502906799316406,100800
2005-09-06,15.680009841918945,329000
2005-09-07,15.711442947387695,137200
2005-09-08,15.717146873474121,71400
2005-09-09,15.911397933959961,97800
2005-09-12,15.871413230895996,100400
2005-09-13,15.76570987701416,128000
2005-09-14,15.837129592895508,83200
2005-09-15,15.891404151916504,96600
2005-09-16,16.014244079589844,123000
2005-09-19,16.04280662536621,83200
2005-09-20,16.054231643676758,316600
2005-09-21,16.111364364624023,102200
2005-09-22,16.094223022460938,83800
2005-09-23,15.965678215026855,96000
2005-09-26,16.1799259185791,238200
2005-09-27,16.04851531982422,104000
2005-09-28,16.14564323425293,72600
2005-09-29,16.43987274169922,306600
2005-09-30,16.462730407714844,544200
2005-10-03,16.38273811340332,329600
2005-10-04,16.354177474975586,186200
2005-10-05,16.04851531982422,150400
2005-10-06,15.545761108398438,257000
2005-10-07,15.774284362792969,143200
2005-10-10,15.811423301696777,149600
2005-10-11,15.882832527160645,152200
